V1,V2,Vout
0.916,0.75,1.77847486
0.917,0.75,1.77851127
0.918,0.75,1.77854693
0.919,0.75,1.77858185
0.92,0.75,1.77861606
0.921,0.75,1.77864956
0.922,0.75,1.77868238
0.923,0.75,1.77871454
0.924,0.75,1.77874605
0.925,0.75,1.77877692
0.926,0.75,1.77880718
0.927,0.75,1.77883684
0.928,0.75,1.77886591
0.929,0.75,1.77889441
0.93,0.75,1.77892237
0.931,0.75,1.77894976
0.932,0.75,1.77897664
0.933,0.75,1.779003
0.934,0.75,1.77902885
0.935,0.75,1.77905421
0.936,0.75,1.7790791
0.937,0.75,1.77910352
0.938,0.75,1.77912749
0.939,0.75,1.77915101
0.94,0.75,1.77917411
0.941,0.75,1.77919678
0.942,0.75,1.77921905
0.943,0.75,1.77924091
0.944,0.75,1.77926238
0.945,0.75,1.77928348
0.946,0.75,1.77930421
0.947,0.75,1.77932457
0.948,0.75,1.77934459
